,time_stamp,baro_1,baro_2,height_baro_1,height_baro_2,temperature_baro_1,temperature_baro_2,acceleration_x_imu_1,acceleration_y_imu_1,acceleration_z_imu_1,acceleration_x_imu_2,acceleration_y_imu_2,acceleration_z_imu_2,gyro_x_imu_1,gyro_y_imu_1,gyro_z_imu_1,gyro_x_imu_2,gyro_y_imu_2,gyro_z_imu_2
123299,291.94002,0.9423731,0.9423243,39440.88956662843,39440.93774622656,45.781174,43.938812,-9.89624175824176,0.7977362637362638,0.2946593406593407,-9.939362637362638,0.9845934065934068,0.459956043956044,-27.77862548828125,-2.96783447265625,-7.476806640625,-27.5726318359375,-1.28173828125,-6.5155029296875
123300,291.980022,0.9424047,0.9423775,39440.858369441674,39440.885222665594,45.778835,43.941135,-10.054351648351648,0.7402417582417582,0.3593406593406594,-9.982483516483516,0.8336703296703297,0.2874725274725275,-25.70343017578125,-0.6561279296875,-7.72857666015625,-25.97808837890625,-1.068115234375,-6.85882568359375
123301,292.020021,0.9424584,0.9423171,39440.8053559119,39440.94485486288,45.781174,43.941135,-10.068725274725274,0.8192967032967032,0.5030769230769231,-10.075912087912087,0.9055384615384616,0.3737142857142858,-23.62060546875,-1.93023681640625,-8.33892822265625,-24.3377685546875,-2.6397705078125,-9.3536376953125
123302,292.06002,0.9424606,0.9424598,39440.8031840876,39440.803973841415,45.776493,43.94578,-9.960923076923075,0.7402417582417582,0.2730989010989011,-10.054351648351648,0.9917802197802198,0.4024615384615385,-22.186279296875,-0.77056884765625,-8.0718994140625,-23.12469482421875,-1.80816650390625,-7.40814208984375
123303,292.100082,0.9424706,0.94247414,39440.793312210706,39440.789817586614,45.781174,43.941135,-9.867494505494506,0.5821318681318681,0.3665274725274725,-9.881868131868131,0.7977362637362638,0.4168351648351648,-20.31707763671875,-0.98419189453125,-9.7198486328125,-21.0723876953125,-0.63323974609375,-9.45281982421875
123304,292.140035,0.9425123,0.9424768,39440.75214739826,39440.787191689626,45.783512,43.948105,-9.709384615384616,0.7330549450549451,0.5965054945054945,-9.81,0.6324395604395605,0.3162197802197802,-18.88275146484375,-0.79345703125,-9.8114013671875,-18.402099609375,-1.73187255859375,-8.5906982421875
123305,292.180035,0.9425459,0.9425202,39440.71897970135,39440.74434895487,45.776493,43.94578,-9.824373626373626,0.539010989010989,0.2084175824175824,-9.69501098901099,0.6683736263736263,0.3809010989010989,-15.84625244140625,-0.34332275390625,-8.67462158203125,-16.387939453125,-0.16021728515625,-9.8876953125
123306,292.220041,0.9426019,0.9424719,39440.66370233392,39440.792028872944,45.774155,43.94578,-9.910615384615385,0.4024615384615385,0.4743296703296704,-9.788439560439562,0.459956043956044,0.424021978021978,-14.5416259765625,0.19073486328125,-9.11712646484375,-15.472412109375,0.37384033203125,-10.3302001953125
123307,292.260033,0.9425753,0.9425516,39440.689958751886,39440.71335313346,45.778835,43.94346,-9.759692307692308,0.424021978021978,0.5893186813186814,-9.824373626373626,0.4312087912087912,0.424021978021978,-13.7481689453125,0.3814697265625,-9.30023193359375,-13.6566162109375,0.5340576171875,-9.62066650390625
123308,292.300068,0.9426434,0.9425346,39440.6227395717,39440.73013420685,45.776493,43.941135,-9.69501098901099,0.0646813186813186,0.3593406593406594,-9.644703296703296,0.2730989010989011,0.4096483516483516,-12.0697021484375,1.190185546875,-8.76617431640625,-11.505126953125,1.15203857421875,-10.04791259765625
123309,292.340032,0.94263625,0.9425878,39440.62979690734,39440.677620134884,45.778835,43.94346,-9.47221978021978,0.194043956043956,0.2874725274725275,-9.544087912087912,0.1796703296703297,0.2227912087912087,-9.77325439453125,0.3509521484375,-7.3394775390625,-10.53619384765625,0.8544921875,-8.6669921875
123310,292.380034,0.9426384,0.9425758,39440.62767476689,39440.68946520466,45.774155,43.94346,-9.421912087912087,0.2227912087912087,0.2227912087912087,-9.443472527472528,0.3665274725274725,0.1006153846153846,-7.9803466796875,0.16021728515625,-7.80487060546875,-8.4228515625,0.40435791015625,-7.08770751953125
123311,292.42006,0.9426678,0.9425999,39440.59865612328,39440.665676479824,45.776493,43.94346,-9.522527472527472,-0.1221758241758241,0.1796703296703297,-9.522527472527472,0.0071868131868131,0.1293626373626373,-5.50079345703125,1.556396484375,-6.4544677734375,-6.24847412109375,-0.48065185546875,-7.56072998046875
123312,292.46009,0.9426577,0.942629,39440.60862503046,39440.636952991226,45.771816,43.94578,-9.544087912087912,-0.2156043956043956,0.0718681318681318,-9.508153846153846,-0.2084175824175824,0.1365494505494505,-4.2266845703125,-0.06866455078125,-5.340576171875,-4.5166015625,0.75531005859375,-6.40869140625
123313,292.500096,0.9427166,0.9426316,39440.55049074065,39440.63438666637,45.776493,43.95275,-9.644703296703296,-0.1365494505494505,0.0862417582417582,-9.63032967032967,-0.2802857142857143,-0.0646813186813186,-3.92913818359375,-0.2288818359375,-4.7454833984375,-3.02886962890625,-0.5645751953125,-4.82177734375
123314,292.540061,0.9427632,0.942757,39440.504498632545,39440.51061764806,45.781174,43.94346,-9.824373626373626,-0.229978021978022,0.0287472527472527,-9.723758241758242,-0.1365494505494505,0.1006153846153846,-0.72479248046875,-1.30462646484375,-3.34930419921875,-1.88446044921875,-0.8697509765625,-4.2572021484375
